Circuit Name,No of Lines,No of Gates,Library,Fault Model,Population Size,Threshold,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Execution Time,Detected Fault Locations
0410184_169,14,46,NCT,PMGF,20,100.0,166,1,0.0,[],180.0,{'Level_45_Wires_[0]'}
cycle17_3_112,20,48,MCT,PMGF,20,100.0,917444,1,0.0,[],180.9840000000113,{'Level_47_Wires_[0]'}
ham7_104,7,23,MCT,PMGF,20,100.0,129,1,0.0,[],180.0,{'Level_22_Wires_[0]'}
hwb5_300,28,88,MCT,PMGF,20,100.0,444,2,0.0,[],180.0159999999887,"{'Level_87_Wires_[0]', 'Level_87_Wires_[1]'}"
hwb5_54,5,24,MCF,PMGF,20,100.0,246,0,0.0,[],180.0,set()
hwb6_57,6,65,MCF,PMGF,20,100.0,1167,0,0.0,[],180.01600000000326,set()
mod5adder_127,6,21,MCT,PMGF,20,100.0,147,2,0.0,[],180.0,"{'Level_20_Wires_[1]', 'Level_20_Wires_[0]'}"
mux_246,22,35,MCT,PMGF,20,100.0,2485,1,0.0,[],180.0,{'Level_34_Wires_[3]'}
rd53_131,7,28,MCT,PMGF,20,100.0,150,0,0.0,[],180.0,set()
rd84_142,15,28,MCT,PMGF,20,100.0,168,1,0.0,[],180.0,{'Level_27_Wires_[0]'}
ryy6_256,17,44,MCT,PMGF,20,100.0,171664,2,0.0,[],180.20300000000861,"{'Level_43_Wires_[3]', 'Level_43_Wires_[5]'}"
squar5_261,13,43,MCT,PMGF,20,100.0,633,2,0.0,[],180.0,"{'Level_42_Wires_[0]', 'Level_42_Wires_[2]'}"
sym6_316,14,29,MCT,PMGF,20,100.0,147,0,0.0,[],180.0,set()
